Date,AAPL,GOOG,MSFT,NFLX
2023-03-09,44.213625499406,40.56833885933691,37.53488663681211,16.04003743719676
2023-03-10,42.739319519618434,39.4706100146978,37.880727610162424,15.586038471183144
2023-03-13,53.858100748385816,48.7094673062358,51.6021528929499,18.796995085322806
2023-03-14,56.69577761662612,57.02004365147376,60.375682712842455,21.183254345783155
2023-03-15,56.55351529139641,64.40588834857407,61.570156178386526,35.161393885720486
2023-03-16,66.58201244511179,76.85608910794156,76.28605527653131,44.684360981596555
2023-03-17,63.0147107084735,77.51557639277172,77.29900859114746,35.505411131379674
2023-03-20,67.17083446545973,75.51556995659045,68.98620560894851,37.51835088505489
2023-03-21,74.19467194919304,78.93543872766227,73.52489778534701,43.603390188476936
2023-03-22,70.05384219262535,72.63398853531851,69.2126518509742,37.230104726453675
2023-03-23,65.36964888135779,72.9729838093018,69.86328319236577,52.77332587108974
2023-03-24,63.253513398068776,70.72784065187868,70.5586669673953,58.30963550975096
2023-03-27,63.93988952021408,66.54261444945689,68.80394854704517,60.03555754161413
2023-03-28,60.24870771445397,61.94375539646114,67.99868867682645,56.0821186016925
2023-03-29,71.06788071627832,67.34234369688383,72.12370093042506,68.83315724682137
2023-03-30,79.28991869509727,70.16034563525098,77.91249343597475,74.73727327546536
2023-03-31,79.7771071666526,72.35507324497607,77.53045346564801,76.35126289939977
2023-04-03,79.04189506426242,70.56328012183485,73.34044190226598,76.67531401979215
2023-04-04,76.87074212067287,67.98153961411198,70.88780256667081,73.18150305389645
2023-04-05,67.55433527460048,59.958923472251215,59.22484352098365,67.7827865394693
2023-04-06,71.39060307986733,64.60980023732807,62.63762242699698,70.53292204891832
2023-04-10,60.14905564199888,60.69904853768401,69.8795487408654,69.69517953378728
2023-04-11,53.4296095998083,50.68696328945748,59.39380423888487,68.83129268486375
2023-04-12,55.301266385722755,52.54323254729172,61.82930138979408,72.81552123627422
2023-04-13,62.86379483487126,54.686737501273726,62.60346733192283,68.42705233372595
2023-04-14,60.00001230547353,57.848568221228376,55.67095192998417,57.356310952910874
2023-04-17,65.20787687721578,57.741932535095195,63.05169649156566,53.38325459763172
2023-04-18,68.79797642106467,58.82629166838298,64.02048313684014,57.106967013160215
2023-04-19,65.9535011138924,57.47841021972347,59.529533797177386,43.95440380175386
2023-04-20,60.26805507772925,60.82230088776364,52.54571977245334,40.59265164288664
2023-04-21,50.30032633042846,55.164958135343404,46.52628802385313,36.55914734590976
2023-04-24,47.791806458755524,55.06773409199927,43.085085824800835,34.79633596495539
2023-04-25,45.359278359542564,48.75060790279237,37.1559856251404,32.27885045141683
2023-04-26,50.0,48.774510353906514,58.76928093696607,33.76225283951726
2023-04-27,58.54993445606887,48.699070914755325,60.162841769861046,39.93430701512114
2023-04-28,68.59504745288464,53.419503962189104,63.68090321941537,43.59264781166988
2023-05-01,72.61966933231136,54.35615070821625,68.80067648580768,40.697217553266725
2023-05-02,71.33466687135164,51.9916188663477,68.28497138402933,41.027684780175605
2023-05-03,56.132384204913514,43.630773160131284,63.33333705953502,28.212603245909975
2023-05-04,51.73440947943075,36.62682164230127,68.56095901967504,33.95650301582381
2023-05-05,67.03431914894944,49.26018885420958,70.04954834113587,40.367521059767775
2023-05-08,65.07934429835184,60.69955919105488,68.08775296343173,47.89587613074125
2023-05-09,58.668333119275964,59.878229134673205,66.09403628430115,59.10744746935919
2023-05-10,63.99352567604649,67.48902960698993,71.6171804969432,59.95650174584419
2023-05-11,68.7741720389601,74.04813697518694,69.49557311951648,64.64734561530909
2023-05-12,65.00829680482866,74.2173899774966,72.81881153442036,58.89381673377603
2023-05-15,67.99652740327448,78.33868277931234,81.67099387149678,61.374508461027645
2023-05-16,68.02605578559584,81.58320448199296,72.69197642523915,60.609631687279816
2023-05-17,61.25131769587339,79.48718652723485,65.88154708233395,61.586452584245336
2023-05-18,63.351591777705785,81.71642487398998,68.18472602678963,73.46266999933869
2023-05-19,63.83508686819684,82.53771489237849,71.70518166994752,73.36276747809382
2023-05-22,64.1217596026016,90.14939081860328,74.5409299652842,77.04664495624993
2023-05-23,59.51829180810546,81.5509069477141,64.65986941028652,70.54080078947224
2023-05-24,64.96784028183072,79.39178279774235,61.27138842156057,72.78931554063011
2023-05-25,47.8645001735996,80.57664398643766,67.24648051409105,68.01907772388041
2023-05-26,56.05014072541992,79.93731723728142,74.61417605880402,71.2831407331026
2023-05-30,67.18458681769299,78.59588817396694,74.56869987159945,74.3048757145696
2023-05-31,62.857145895227994,71.22082880401855,67.18686190623438,74.09166430239357
2023-06-01,68.64704805261948,66.59263226038239,73.03673816229718,73.78758045403487
2023-06-02,75.11986102433264,66.3534802842436,76.19426982767382,75.14108165600317
2023-06-05,71.39599202543653,71.21544760355258,76.21784850339894,78.293579672524
2023-06-06,69.92187533261523,68.67241263724893,71.73138959016472,76.93571169307249
2023-06-07,63.72392780283263,52.97716004150739,58.01436392289873,75.79572580364936
2023-06-08,64.46541861300179,48.131872111939785,56.03080157830782,70.21229793047503
2023-06-09,64.97934625233592,49.16226412555526,57.38250488452055,77.628384675686
2023-06-12,72.58597541341797,46.47167207642709,58.97394172757779,80.32230456782825
2023-06-13,80.80758859630171,52.993694532643694,67.00017720587232,87.8776316907213
2023-06-14,81.16318755924273,57.85549392645425,70.38708228359053,87.43227625427008
2023-06-15,82.0059264816204,54.4609700572535,69.69804394749025,93.09620949651939
2023-06-16,74.98688256662973,45.9201863406251,58.56621676782883,78.37895252773487
2023-06-20,72.39979359359927,47.56323190467831,55.9272084129109,75.38948354498649
2023-06-21,68.42401628279372,43.98174865756711,54.354036832874485,66.20452530714743
2023-06-22,68.76704290211302,48.69383590037948,55.812818274913894,61.48640839347418
2023-06-23,66.03249012701463,44.22372089127825,49.69936328369078,64.1679653132835
2023-06-26,65.88503815987445,32.59466372762742,44.68732066832978,57.035859553976344
2023-06-27,71.76590412528905,28.250255897767673,50.61135795926684,60.46346827225386
2023-06-28,78.39052299967557,44.70387456519869,59.77732740241624,65.45380517804591
2023-06-29,75.45152218129087,42.75600534057378,57.808245051907626,60.566692664774116
2023-06-30,79.9632129425218,45.03137747661005,60.31507499125453,61.26086741924794
2023-07-03,71.26050306972512,39.50138871805536,54.78638899845414,59.93856205201496
2023-07-05,69.05897924032273,45.50897633670438,53.11993409076333,56.30970791874498
2023-07-06,68.82187740474382,42.04703420951181,53.17292852201029,48.77606078368648
2023-07-07,61.70427575699401,36.59230752797112,40.14849816242504,45.45340194662345
2023-07-10,58.81511971573255,34.09996230855225,40.426700530551514,57.049895273678615
2023-07-11,57.182995811501875,36.7900129739156,44.550798910189584,54.056828083565485
2023-07-12,63.19855301342304,46.3652491863331,53.53811251622579,65.93495531527418
2023-07-13,58.9665597107165,51.90778862449819,52.906412472083225,71.18130354538879
2023-07-14,60.245310470333045,55.321687642464184,60.50574807837941,62.288789702421035
2023-07-17,70.31687952662183,63.636376310311995,70.05381829822139,73.41111652901287
